id_sesion,fecha,no_acta,periodo,punto_n,punto_numeral,punto_texto,pdf_url
2024-2027-74,2026-05-13,74,2024-2027,1,I,Lista de asistencia.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,2,II,Declaración de quórum legal e instalación legal de la Sesión.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,3,III,Lectura y aprobación del Orden del Día.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,4,IV,"Lectura y aprobación en su caso, de las Actas de Cabildo N° 71, 72 y 73.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,5,V,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza realizar las adecuaciones presupuestales solicitadas por la Tesorería Municipal, correspondientes al mes de abril de 2026.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,6,VI,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza remitir al H. Congreso del Estado de Colima, los resultados de la Cuenta Pública del mes de Abril de 2026.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,7,VII,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza suscribir Convenio de Colaboración entre el Municipio de Colima y “Fundación Humanista de Ayuda a Discapacitados FHADI”.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,8,VIII,"Lectura, discusión y aprobación en su caso, del Dictamen que aprueba la Incorporación Municipal del Predio Intraurbano Identificado con clave catastral 02-01-06-165-010-000 del Fraccionamiento “GIRASOLES”.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,9,IX,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza la expedición de una licencia comercial para establecimiento con venta o consumo de bebidas alcohólicas y una de Cambio de Domicilio.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,10,X,"Lectura, discusión y aprobación en su caso, del Dictamen por el que se autoriza brindar seguridad social (IMSS) y equiparar su beca al sueldo que perciben los Agentes de Policías Municipal, a los aspirantes a policías, durante su formación inicial y la apertura de 13 plazas de puesto de policía.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,11,XI,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza suscribir Convenio de Colaboración entre el Municipio de Colima y el establecimiento denominado “VIVO FIT GYM”.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,12,XII,"Lectura, discusión y aprobación en su caso, del Dictamen por el que se autoriza y faculta a la Oficialía Mayor, para otorgar en el presente ejercicio fiscal 2026, el Bono a las Madres trabajadoras de base, confianza y supernumerarias del H. Ayuntamiento de Colima, con motivo de su día social; con el objeto de equipararlo, en lo posible, a la remuneración que se otorga conforme a lo previsto en el Convenio de Concertación Laboral, vigente.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,13,XIII,"Lectura, discusión y aprobación en su caso, del Punto de Acuerdo por el que se aprueba la Iniciativa para el otorgamiento de diversos incentivos fiscales a favor de los contribuyentes del Municipio de Colima, Colima.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,14,XIV,Asuntos Generales.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-74,2026-05-13,74,2024-2027,15,XV,Clausura.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-74_opt.pdf
2024-2027-73,2026-04-29,73,2024-2027,1,I,Lista de asistencia.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,2,II,Declaración de quórum legal e instalación legal de la Sesión.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,3,III,Lectura del Orden del Día.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,4,IV,"Lectura y aprobación en su caso, de las Actas de Cabildo N° 71 y 72.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,5,V,Receso para inicio y desarrollo de la Sesión Extraordinaria del Cabildo Infantil 2026. (Desarrollo a cargo del DIF MUNICIPAL).,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,6,VI,Reanudación de la Sesión de Cabildo.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,7,VII,Entrega de reconocimientos al Cabildo Infantil.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-73,2026-04-29,73,2024-2027,8,VIII,"Mensaje del Mtro. Riult Rivera Gutiérrez, Presidente Municipal de Colima. Clausura.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-73.pdf
2024-2027-72,2026-04-29,72,2024-2027,1,I,Lista de asistencia.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,2,II,Declaración de quórum legal e instalación legal de la Sesión.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,3,III,Lectura del Orden del Día.,https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,4,IV,"Lectura y aprobación en su caso, del Acta de Cabildo N° 71.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,5,V,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza remitir al H. Congreso del Estado de Colima, los resultados de la Cuenta Pública Anual Consolidada del Ejercicio Fiscal 2025.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,6,VI,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza suscribir Convenio de Colaboración entre el Municipio de Colima y la Secretaría de Seguridad y Protección Ciudadana y la Secretaría de Infraestructura, Comunicación y Transportes, para el proyecto México Imparable.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,7,VII,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza el Programa Parcial de Urbanización FRACCIONAMIENTO NATIVA RESIDENCIAL.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,8,VIII,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza dar de baja cinco Licencias Comerciales para la venta y/o Consumo de bebidas alcohólicas.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,9,IX,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza la expedición de cuatro Licencias Comerciales, para la Venta y/o Consumo de Bebidas Alcohólicas.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
2024-2027-72,2026-04-29,72,2024-2027,10,X,"Lectura, discusión y aprobación en su caso, del Dictamen que autoriza dar de baja siete Licencias Comerciales para la venta y/o Consumo de bebidas alcohólicas.",https://www.colima.gob.mx/portal2016/wp-content/uploads/2026/06/acta-no-72_opt.pdf
